Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
59717,41.209167,-94.103611,-99999,-99999,119.6,119.6
59714,41.9203,-106.3758,-99999,-99999,118.5,118.5
59711,43.524429,-111.803921,-99999,-99999,115.8,115.8
59709,47.933621,-101.269189,-99999,-99999,115.5,115.5
59710,31.9361,-101.2983,-99999,-99999,115.5,115.5
59704,32.303889,-100.021667,-99999,-99999,114,114
59706,36.4964,-101.3917,-99999,-99999,114,114
59702,33.733006,-97.428406,-99999,-99999,112.5,112.5
59688,37.613256,-100.378197,-99999,-99999,112,112
59692,42.7794,-78.4269,-99999,-99999,112,112
59694,43.8825,-83.161389,-99999,-99999,112,112
59687,42.043611,-106.160278,-99999,-99999,111,111
59686,43.408056,-84.462222,-99999,-99999,110.4,110.4
59682,33.143056,-98.161111,-99999,-99999,110,110
59683,26.411689,-98.571554,-99999,-99999,110,110
59667,41.666944,-89.059722,-99999,-99999,109.5,109.5
59664,42.6878,-95.405,-99999,-99999,109.4,109.4
59658,45.52,-120.5744,-99999,-99999,108,108
59660,37.851111,-99.838056,-99999,-99999,108,108
59657,46.075,-102.563333,-99999,-99999,107.5,107.5
59655,44.2917,-96.375,-99999,-99999,107.2,107.2
59654,44.8917,-74.0299,-99999,-99999,106.5,106.5
59653,40.7178,-87.2631,-99999,-99999,106,106
59652,47.155833,-117.364444,-99999,-99999,105.3,105.3
59649,46.98,-101.554722,-99999,-99999,105,105
59650,46.98,-101.554722,-99999,-99999,105,105
59648,48.51,-112.1097,-99999,-99999,104.2,104.2
59646,37.518889,-99.446389,-99999,-99999,104,104
59641,44.129369,-96.116971,-99999,-99999,103.5,103.5
59645,40.5986,-87.0194,-99999,-99999,103.5,103.5
59639,45.7167,-120.2008,-99999,-99999,102.9,102.9
59638,38.169444,-121.846944,-99999,-99999,102.5,102.5
59636,47.1133,-100.7086,-99999,-99999,102.4,102.4
59637,35.2689,-107.3828,-99999,-99999,102.4,102.4
59628,36.603967,-99.340047,-99999,-99999,102,102
59630,40.8411,-76.1547,-99999,-99999,102,102
59631,38.58523,-112.931,-99999,-99999,102,102
59632,41.1508,-88.6233,-99999,-99999,102,102
59633,35.008611,-118.242222,-99999,-99999,102,102
59634,43.433889,-84.4975,-99999,-99999,102,102
59635,35.008333,-118.241389,-99999,-99999,102,102
59627,48.5333,-112.1847,-99999,-99999,101.4,101.4
59626,38.137488,-121.855342,-99999,-99999,101.3,101.3
59621,32.4081,-100.1286,-99999,-99999,101.2,101.2
59623,40.8981,-121.8036,-99999,-99999,101.2,101.2
59624,36.333803,-99.480144,-99999,-99999,101.2,101.2
59625,41.454241,-94.575056,-99999,-99999,101.2,101.2
59618,38.879936,-98.160159,-99999,-99999,100.8,100.8
59619,35.325278,-98.071389,-99999,-99999,100.8,100.8
59620,35.372359,-98.182731,-99999,-99999,100.8,100.8
59611,45.085221,-117.816273,-99999,-99999,100.7,100.7
59613,47.1356,-120.6872,-99999,-99999,100.7,100.7
59610,43.6861,-92.6272,-99999,-99999,100.6,100.6
59587,43.7938,-94.8499,-99999,-99999,100.5,100.5
59595,45.652457,-120.209783,-99999,-99999,100.5,100.5
59597,44.8914,-74.0061,-99999,-99999,100.5,100.5
59598,42.5367,-78.3047,-99999,-99999,100.5,100.5
59601,42.451481,-89.878428,-99999,-99999,100.5,100.5
59603,40.3692,-89.4022,-99999,-99999,100.5,100.5
59604,43.8006,-92.6822,-99999,-99999,100.5,100.5
59605,43.7189,-92.705,-99999,-99999,100.5,100.5
59606,41.7619,-76.8553,-99999,-99999,100.5,100.5
59607,38.0878,-80.4925,-99999,-99999,100.5,100.5
59586,43.526944,-83.566944,-99999,-99999,100.3,100.3
59566,43.4303,-95.4167,-99999,-99999,100,100
59573,34.466667,-105.9625,-99999,-99999,100,100
59574,43.3456,-95.3233,-99999,-99999,100,100
59575,42.159722,-95.439722,-99999,-99999,100,100
59577,34.910361,-98.5599,-99999,-99999,100,100
59581,34.386944,-97.136944,-99999,-99999,100,100
59564,29.234722,-100.209167,-99999,-99999,99.8,99.8
59562,35.280278,-97.975556,-99999,-99999,99.2,99.2
59563,35.415556,-112.271111,-99999,-99999,99.2,99.2
59548,42.1169,-95.1292,-99999,-99999,99,99
59549,43.7542,-94.9497,-99999,-99999,99,99
59550,38.503167,-101.161472,-99999,-99999,99,99
59551,43.0572,-105.8543,-99999,-99999,99,99
59552,41.675052,-106.011124,-99999,-99999,99,99
59553,43.01455,-105.999,-99999,-99999,99,99
59554,34.8217,-98.4525,-99999,-99999,99,99
59555,40.6431,-87.0242,-99999,-99999,99,99
59556,45.215,-97.9056,-99999,-99999,99,99
59558,41.025278,-84.779166,-99999,-99999,99,99
59559,42.606737,-93.336453,-99999,-99999,99,99
59560,44.704444,-71.2925,-99999,-99999,99,99
59561,35.060556,-118.243333,-99999,-99999,99,99
59544,43.61407,-92.59882,-99999,-99999,98.9,98.9
59545,45.8131,-120.3475,-99999,-99999,98.9,98.9
59546,37.614473,-100.278666,-99999,-99999,98.9,98.9
59547,45.899167,-118.591389,-99999,-99999,98.9,98.9
59543,36.476944,-97.685556,-99999,-99999,98.8,98.8
59540,45.7119,-120.125,-99999,-99999,98.7,98.7
59541,45.51,-120.48,-99999,-99999,98.7,98.7
59542,40.6778,-87.0328,-99999,-99999,98.7,98.7
59539,36.1225,-98.992222,-99999,-99999,98.6,98.6
59536,43.0533,-93.6305,-99999,-99999,98,98
59537,40.399722,-87.799167,-99999,-99999,98,98
59535,45.753333,-100.275,-99999,-99999,97.8,97.8
59534,39.0072,-79.8866,-99999,-99999,97.6,97.6
59533,44.8216,-73.6509,-99999,-99999,97.5,97.5
59530,45.675804,-120.31832,-99999,-99999,96.6,96.6
59529,46.0958,-119.0964,-99999,-99999,95,95
59528,36.640278,-99.500556,-99999,-99999,94.5,94.5
59527,42.750278,-78.248889,-99999,-99999,94.4,94.4
59526,45.781825,-120.521151,-99999,-99999,94,94
59521,27.488056,-99.005278,-99999,-99999,92,92
59519,32.3472,-100.3703,-99999,-99999,91.5,91.5
59512,40.756944,-102.743055,-99999,-99999,91,91
59505,34.8147,-105.0108,-99999,-99999,90,90
59506,31.991442,-101.302637,-99999,-99999,90,90
59507,43.663056,-82.746944,-99999,-99999,90,90
59508,46.9547,-120.1819,-99999,-99999,90,90
59509,35.065,-118.39,-99999,-99999,90,90
59502,42.45,-77.52,-99999,-99999,87.5,87.5
59501,44.011,-96.0446,-99999,-99999,85.5,85.5
59498,32.92544,-101.219397,-99999,-99999,84,84
59497,30.931467,-102.201433,-99999,-99999,82.5,82.5
59496,30.9514,-102.414067,-99999,-99999,82,82
59495,46.98,-101.554722,-99999,-99999,81.8,81.8
59489,43.256944,-84.499722,-99999,-99999,81.6,81.6
59486,44.8914,-74.0061,-99999,-99999,81,81
59487,42.6978,-97.6189,-99999,-99999,81,81
59488,41.2325,-90.174167,-99999,-99999,81,81
59485,32.236944,-100.4833,-99999,-99999,80.5,80.5
59484,42.8417,-95.405,-99999,-99999,80.2,80.2
59469,35.4789,-101.2439,-99999,-99999,80,80
59470,43.3833,-93.4167,-99999,-99999,80,80
59472,34.980556,-103.353889,-99999,-99999,80,80
59474,43.3608,-93.2978,-99999,-99999,80,80
59475,41.643611,-89.173056,-99999,-99999,80,80
59476,40.383889,-78.579444,-99999,-99999,80,80
59477,41.263889,-110.544444,-99999,-99999,80,80
59478,36.543889,-101.393611,-99999,-99999,80,80
59479,42.568056,-94.658056,-99999,-99999,80,80
59481,43.16,-98.08,-99999,-99999,80,80
59483,37.713311,-121.640353,-99999,-99999,80,80
59467,41.880278,-98.023889,-99999,-99999,79.9,79.9
59468,41.454722,-99.568056,-99999,-99999,79.9,79.9
59466,36.4144,-101.3864,-99999,-99999,79.8,79.8
