description,name,Plant_Code,sector_nam,PrimSource,Total_MW,Coal_MW,NG_MW,Crude_MW,Bio_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Geo_MW,Other_MW,source_des,tech_desc,Source,Period,geometry
,solar,58467,IPP Non-CHP,solar,139,0,0,0,,0,0,0,139,0,,,Solar = 139 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-115.726389,32.753333,0.0</coordinates></Point>"
,solar,58466,IPP Non-CHP,solar,4,0,0,0,,0,0,0,4,0,,,Solar = 4 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-111.603056,33.346944,0.0</coordinates></Point>"
,solar,58483,IPP Non-CHP,solar,16,0,0,0,,0,0,0,16,0,,,Solar = 16 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-74.084167,40.263889,0.0</coordinates></Point>"
,solar,56888,IPP Non-CHP,solar,2,0,0,0,,0,0,0,2,0,,,Solar = 2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-75.10697,40.788957,0.0</coordinates></Point>"
,solar,58482,IPP Non-CHP,solar,7.7,0,0,0,,0,0,0,7.7,0,,,Solar = 7.7 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-82.591667,32.980833,0.0</coordinates></Point>"
,solar,56889,IPP Non-CHP,solar,1.7,0,0,0,,0,0,0,1.7,0,,,Solar = 1.7 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-74.3783,40.727386,0.0</coordinates></Point>"
,solar,58485,IPP Non-CHP,solar,1,0,0,0,,0,0,0,1,0,,,Solar = 1 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-84.343056,32.920833,0.0</coordinates></Point>"
,solar,58487,IPP Non-CHP,solar,2.5,0,0,0,,0,0,0,2.5,0,,,Solar = 2.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-78.593889,36.411667,0.0</coordinates></Point>"
,solar,58486,IPP Non-CHP,solar,20,0,0,0,,0,0,0,20,0,,,Solar = 20 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-111.242778,32.369722,0.0</coordinates></Point>"
,solar,58479,IPP Non-CHP,solar,1.4,0,0,0,,0,0,0,1.4,0,,,Solar = 1.4 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-104.506944,33.351111,0.0</coordinates></Point>"
,solar,58477,IPP Non-CHP,solar,3.3,0,0,0,,0,0,0,3.3,0,,,Solar = 3.3 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-115.035278,36.134444,0.0</coordinates></Point>"
,solar,56883,IPP Non-CHP,solar,1.5,0,0,0,,0,0,0,1.5,0,,,Solar = 1.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-75.04,39.9894,0.0</coordinates></Point>"
,solar,58481,Commercial Non-CHP,solar,1,0,0,0,,0,0,0,1,0,,,Solar = 1 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-104.58,38.306111,0.0</coordinates></Point>"
,solar,58480,IPP Non-CHP,solar,5,0,0,0,,0,0,0,5,0,,,Solar = 5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-76.710556,35.875,0.0</coordinates></Point>"
,solar,56900,Commercial Non-CHP,solar,2,0,0,0,,0,0,0,2,0,,,Solar = 2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-74.4408,39.3639,0.0</coordinates></Point>"
,wind,56901,IPP Non-CHP,wind,97.5,0,0,0,,0,0,0,0,97.5,,,Wind = 97.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-73.6509,44.8216,0.0</coordinates></Point>"
,wind,56902,IPP Non-CHP,wind,126,0,0,0,,0,0,0,0,126,,,Wind = 126 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-78.2278,42.6697,0.0</coordinates></Point>"
,wind,56904,IPP Non-CHP,wind,106.5,0,0,0,,0,0,0,0,106.5,,,Wind = 106.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-74.0299,44.8917,0.0</coordinates></Point>"
,wind,56913,IPP Non-CHP,wind,50,0,0,0,,0,0,0,0,50,,,Wind = 50 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-95.4167,43.4303,0.0</coordinates></Point>"
,solar,56915,IPP Non-CHP,solar,2,0,0,0,,0,0,0,2,0,,,Solar = 2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-78.7503,35.8136,0.0</coordinates></Point>"
,solar,56917,IPP Non-CHP,solar,199.9,0,0,0,,0,0,0,199.9,0,,,Solar = 199.9 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-115.587265,32.671099,0.0</coordinates></Point>"
,wind,56919,IPP Non-CHP,wind,148.5,0,0,0,,0,0,0,0,148.5,,,Wind = 148.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-97.8853,47.1294,0.0</coordinates></Point>"
,wind,56905,IPP Non-CHP,wind,114,0,0,0,,0,0,0,0,114,,,Wind = 114 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-101.3917,36.4964,0.0</coordinates></Point>"
,solar,56909,Commercial Non-CHP,solar,1.2,0,0,0,,0,0,0,1.2,0,,,Solar = 1.2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-119.7094,36.7839,0.0</coordinates></Point>"
,wind,56912,IPP Non-CHP,wind,40.5,0,0,0,,0,0,0,0,40.5,,,Wind = 40.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-98.3164,48.6292,0.0</coordinates></Point>"
,geothermal,10481,IPP Non-CHP,geothermal,21.6,0,0,0,,0,0,0,0,0,21.6,,Geothermal = 21.6MW,Geothermal,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.9092,37.6464,0.0</coordinates></Point>"
,geothermal,10480,IPP Non-CHP,geothermal,6.4,0,0,0,,0,0,0,0,0,6.4,,Geothermal = 6.4MW,Geothermal,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-118.9143,37.6451,0.0</coordinates></Point>"
