Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
354,34.0818,-117.2418,-99999,-99999,-99999,-99999
356,34.14522,-117.058481,-99999,-99999,-99999,-99999
357,34.107245,-117.099091,-99999,-99999,-99999,-99999
358,36.13568,-118.788868,-99999,-99999,-99999,-99999
361,46.4711,-119.3339,-99999,-99999,-99999,-99999
363,38.2569,-120.8507,-99999,-99999,-99999,-99999
365,34.1556,-118.2782,-99999,-99999,-99999,-99999
371,47.287206,-93.498266,-99999,-99999,-99999,-99999
376,37.896649,-119.9675,-99999,-99999,-99999,-99999
377,37.809388,-120.299254,-99999,-99999,-99999,-99999
378,37.877667,-119.953233,-99999,-99999,-99999,-99999
380,41.494636,-88.123827,-99999,-99999,-99999,-99999
381,32.705435,-115.030975,-99999,-99999,-99999,-99999
382,32.705428,-115.126103,-99999,-99999,-99999,-99999
384,32.705341,-115.219067,-99999,-99999,-99999,-99999
385,32.802222,-115.54,-99999,-99999,-99999,-99999
386,61.0828,-146.3033,-99999,-99999,-99999,-99999
387,37.142795,-118.324075,-99999,-99999,-99999,-99999
389,34.587237,-118.656638,-99999,-99999,-99999,-99999
390,37.437921,-118.556988,-99999,-99999,-99999,-99999
391,36.443421,-118.04389,-99999,-99999,-99999,-99999
392,34.318248,-118.494449,-99999,-99999,-99999,-99999
393,34.103931,-118.413377,-99999,-99999,-99999,-99999
394,36.109722,-117.956667,-99999,-99999,-99999,-99999
396,33.7856,-118.2644,-99999,-99999,-99999,-99999
397,33.764741,-118.09913,-99999,-99999,-99999,-99999
398,37.51,-118.569167,-99999,-99999,-99999,-99999
399,37.41416,-118.523889,-99999,-99999,-99999,-99999
400,34.260527,-118.385531,-99999,-99999,-99999,-99999
401,33.918151,-118.427648,-99999,-99999,-99999,-99999
402,63.3367,-142.9856,-99999,-99999,-99999,-99999
403,37.546036,-118.590001,-99999,-99999,-99999,-99999
404,34.244991,-118.391327,-99999,-99999,-99999,-99999
406,37.584345,-120.26859,-99999,-99999,-99999,-99999
407,37.522065,-120.31009,-99999,-99999,-99999,-99999
408,39.177903,-120.890856,-99999,-99999,-99999,-99999
409,39.2184,-120.8352,-99999,-99999,-99999,-99999
410,38.202569,-120.076983,-99999,-99999,-99999,-99999
412,38.246656,-120.034072,-99999,-99999,-99999,-99999
413,37.876111,-120.605,-99999,-99999,-99999,-99999
414,39.551012,-121.278784,-99999,-99999,-99999,-99999
415,39.531784,-121.491247,-99999,-99999,-99999,-99999
